B00202,金銀島,
B00203,環遊世界80天,
B00204,鐘樓怪人,
B00205,所羅門王寶藏,
B00206,分類和演化(動物),
B00207,分類和演化(植物),
B00208,天敵,
B00209,青蛙和蟾蜍,
B00210,蜻蜓和豆娘,
B00211,水獺和海狸,
B00212,海豹、海獅和海象,
B00213,蝸牛,
B00214,螃蟹,
B00215,蛋,
B00216,到農場走走,
B00217,好冷好冷好熱好熱,
B00218,我們穿的衣服,
B00219,大自然音樂會,
B00220,米從哪裡來,
B00221,柿子,
B00222,橘子,
B00223,豬寶貝,
B00224,動物的建築師,
B00225,蝴蝶飛呀飛,
B00226,大腳ㄚ小腳丫,
B00227,動物冠軍王,
B00228,城市飛行家,
B00229,環保小尖兵,
B00230,小鏡頭大世界,
B00231,博物館開門,
B00232,黑漆漆的夜晚,
B00233,有趣的繩子,
B00234,到部落走走,
B00235,好戲開鑼,
B00236,創意遊樂園,
B00237,看漫畫學破音字,
B00238,兒童學習百科-1,
B00239,兒童學習百科-2,
B00240,兒童學習百科-3,
B00241,兒童學習百科-4,
B00242,兒童學習百科-5,
B00243,兒童學習百科-6,
B00244,兒童學習百科-7,
B00245,兒童學習百科-8,
B00246,兒童學習百科-9,
B00247,兒童學習百科-10,
B00248,兒童學習百科-11,
B00249,兒童學習百科-12,
B00250,兒童學習百科-13,
B00251,兒童學習百科-14,
B00252,兒童學習百科-15,
B00253,兒童學習百科-16,
B00254,兒童學習百科-17,
B00255,兒童學習百科-18,
B00256,兒童學習百科-19,
B00257,兒童學習百科-20,
B00258,綠野仙蹤,
B00259,獅子娶新娘,
B00260,怪獸的謎語,
B00261,阿里巴巴與四十大盜,
B00262,鞋匠與小仙童,
B00263,吹笛手,
B00264,穿長靴的貓,
B00265,給我一張衛生紙,
B00266,游吧！小烤魚,
B00267,小胖鵝的大屁股,
B00268,我要上一年級了,
B00269,肚子餓時，昆蟲怎麼辦？,
B00270,下雨時，昆蟲怎麼辦？,
B00271,遇到敵人時，昆蟲怎麼辦？,
B00272,虛榮小姐,
B00273,阿利的紅斗篷,
B00274,媽媽，買綠豆！,
B00275,這是我的,
B00276,小水母要骨頭,
B00277,威利在哪裡？,
B00278,發現各式各樣的形狀,
B00279,發現各式各樣的果實,
B00280,船的故事,
B00281,小紅帽,
B00282,膽小的劍龍,
B00283,角角動物園,
B00284,尾巴 尾巴,
B00285,迷海奇航,
B00286,童言童語5 (彩虹娃娃),
B00287,甲蟲王者爭霸戰,
B00288,智商UP2,
B00289,魚兒水中游,
B00290,巧連智幼2005年10月,
B00291,巧連智幼2005年11月,
B00292,巧連智幼2005年12月,
B00293,巧連智幼2006年01月,
B00294,巧連智幼2010年03月,
B00295,巧連智低2006年10月,
B00296,巧連智低2007年08月,
B00297,巧連智寶2008年3月,
B00298,小牛頓 25,
B00299,鱷魚放假了,
B00300,巧克力貓書店,
B00301,巧連智幼2012年09月,
B00302,巧連智幼2012年10月,
B00303,巧連智幼2012年11月,
B00304,巧連智幼2012年12月,
B00305,巧連智幼2013年02月,
B00306,巧連智幼2013年03月,
B00307,巧連智幼2013年04月,
B00308,巧連智幼2013年05月,
B00309,巧連智幼2013年06月,
B00310,巧連智幼2013年07月,
B00311,巧連智幼2013年08月,
B00312,借你一把傘,
B00313,兔子先生去散步,
B00314,爸爸跟我玩,
B00315,My Body,
B00316,藏在誰那兒呢?,
B00317,月亮掉下來,
B00318,懶惰的農夫,
B00319,小水母傑利的奇幻旅程,
B00320,小熊奇奇的冒險,
B00321,賣火柴的小女孩,
B00322,小小火車變變變,
B00323,巧連智低 2007年10月,
B00324,勤勞的小母雞,
B00325,認知小書ㄅ.ㄆ.ㄇ (上) ,
B00326,認知小書ㄅ.ㄆ.ㄇ (下) ,
B00327,認知小書A.B.C (上) ,
B00328,認知小書A.B.C (下) ,
B00329,認知小書 動物,
B00330,認知小書 水果,
B00331,認知小書 蔬菜,
B00332,認知小書 形狀與色彩,
B00333,認知小書1.2.3,
B00334,認知小書 好吃食物,
B00335,認知小書 家電用品,
B00336,認知小書 海洋世界,
B00337,認知小書 日常用品,
B00338,認知小書 鳥類,
B00339,認知小書 昆蟲,
B00340,認知小書 我會比一比,
B00341,認知小書 可愛動物,
B00342,認知小書 交通工具,
B00343,魔力瑄瑄,
B00344,我的名字叫小胖,
B00345,小桃子 貼貼臉,
B00346,好想睡覺的小兔子,
B00347,越南土地公在台灣,
B00348,東南亞的節慶,
B00349,小水滴旅行,
B00350,小雞穿鞋子,
B00351,喔！我知道了,
B00352,我要買泥沙,
B00353,風娃娃在哪裡,
B00354,彩色的雲,
B00355,大雨嘩啦啦,
B00356,再見！松鼠牙醫,
B00357,球球和黏身草,
B00358,下雨天的球球,
B00359,球球和挖土機,
B00360,國王登月記·月亮升起時,
B00361,動物天地,
B00362,甲蟲先生漫遊記·留神阿，小瓢蟲!,
B00363,樹的一年·奇巧最喜歡的樹,
B00364,恐龍進城·小豆豆想長大,
B00365,貓頭鷹愛月亮·我能飛了!,
B00366,雨來了·雪孩子們來拜訪,
B00367,你好，我是雪人·帽子先生,
B00368,阿茂的神奇解藥·神奇魚,
B00369,淘氣豬小胖嘟·老婆婆與蜜熊,
B00370,老是睏和老是餓·森林孩子找朋友,
B00371,顏色變變變·彩虹國,
B00372,火龍與男孩·翠鳥和魔魚,
B00373,說謊的山羊·紅狐和牧羊人,
B00374,樹林裡有一個巨人·大象賓保逃家記,
B00375,了不起的普蘭·小老鼠歷險記,
B00376,小雨點的旅行·飛走了小雲朵,
B00377,小小蟲歷險記·小老虎找勇氣,
B00378,共享親密賞書時,
B00379,老伯伯的手套·稻草人的願望,
B00380,我的身體你的身體,
B00381,再上去是什麼？,
B00382,男生女生配一對,
B00383,藍鯨是世界是最大的的東西嗎？,
B00384,時間滴答,
B00385,淅瀝!嘩啦!啪啦!,
B00386,如果世界上沒有鯨魚：,
B00387,床底下是什麼？,
B00388,聽!什麼聲音？,
B00389,哈啾~看醫生囉!,
B00390,麵團大王,
B00391,我的朋友嘎歷,
B00392,最特別的同學,
B00393,寵物A咖,
B00394,兩個人的金牌,
B00395,沒有不一樣,
B00396,袋子裡的狼,
B00397,跟著阿蠟筆學集合,
B00398,路克船長的藏寶圖,
B00399,玩具國的蔬果炮彈,
B00400,1隻小豬與100匹狼,
B00401,我的小雞雞,
B00402,狐狸與白鶴,
B00403,一隻孤獨的野狼,
B00404,一隻勤勞的河狸,
B00405,一隻外來的鬣蜥,
B00406,一隻愛唱歌的青蛙,
B00407,一隻勇敢的兔子,
B00408,一隻小器的喜鵲,
B00409,爸爸我要月亮,
B00410,我們的媽媽在哪裡,
B00411,誰偷了黃金？,
B00412,復活節兔子的寶寶,
B00413,泰迪熊的萬聖節,
B00414,睡不著的小老鼠,
B00415,善良的雪人*2,
B00416,穿長統靴的貓,
B00417,春天的榛果,
B00418,溫暖的家,
B00419,寶弟的風箏,
B00420,泰迪熊和兔子,
B00421,小貓咪摩麗絲，不要怕!,
B00422,巴布的小花,
B00423,青春泉,
B00424,佛勞利的冒險,
B00425,怪獸孟思特,
B00426,恐龍奧秘一本通,
B00427,睡美人,
B00428,灰姑娘,
B00429,兒童讀三字經,
B00430,妙奇地歡樂美語,
B00431,一起來種花,
B00432,爺爺的花園,
B00433,山谷的南瓜,
B00434,去朋友家做客,
B00435,漂亮的玻璃瓶,
B00436,誰的寶貝蛋,
B00437,14隻老鼠賞月,
B00438,14隻老鼠吃早餐,
B00439,14隻老鼠大搬家,
B00440,14隻老鼠過冬天,
B00441,眼睛的故事,
B00442,龜甲,
B00443,奇妙的尾巴,
B00444,紙飛機,
B00445,院子裡的小生物,
B00446,ABC圖畫書,
B00447,算算看,
B00448,空罐子，真好玩！,
B00449,長頸鹿好長喔,
B00450,忍者雨蛙,
B00451,種子高飛,
B00452,消防車加油,
B00453,蒲公英花開後,
B00454,大自然的躲貓貓,
B00455,昆蟲冠軍,
B00456,宇宙星球探險,
B00457,尾巴  尾巴,
B00458,白雪的形狀,
B00459,海豹小寶貝,
B00460,螯蝦的大剪刀,
B00461,雙層新幹線-麥克士號,
B00462,老虎的花紋,
B00463,飛啊！蟲蟲小飛俠,
B00464,蟲蟲你在哪裡,
B00465,我們是企鵝,
B00466,天空的大旅行,
B00467,相撲大力士,
B00468,松鼠的小果子,
B00469,白雪北極熊,
B00470,麻糬打打樂,
B00471,大嘴巴河馬,
B00472,奇幻美術館,
B00473,好想睡覺喔,
B00474,水果的花花世界,
B00475,小小瓢蟲爬呀爬,
B00476,螳螂勇士,
B00477,月球奇異探險,
B00478,飛啊！巨無霸噴射客機,
B00479,形形色色的骨頭,
B00480,我抓到魚了,
B00481,熊貓圓滾滾,
B00482,角角動物園,
B00483,春天在哪裡,
B00484,挖土機戰士,
B00485,看誰在游泳,
B00486,獨角仙和鍬形蟲,
B00487,獅子家族,
B00488,我愛拉麵,
B00489,鱷魚的大尖牙,
B00490,冰塊變變變,
B00491,大鴕鳥,
B00492,腳腳腳,
B00493,好好吃的草莓,
B00494,蓋房子囉！,
B00495,圓圓小水滴,
B00496,沖天小竹筍,
B00497,想一想，像什麼,
B00498,蟲蟲奧運會,
B00499,貓咪日記,
B00500,小小麵包坊,
B00501,飛天鼯鼠,
B00502,動物變裝秀,
B00503,小阿力的大學校,
B00504,第五個,
B00505,一顆超級頑固的牙,
B00506,我的第一隻狗,
B00507,爸爸，你愛我嗎？,
B00508,媽媽的紅沙發,
B00509,花婆婆 ,
B00510,精采過一生,
B00511,艾瑪畫畫,
B00512,勇敢的莎莎,
B00513,菲菲生氣了-非常、非常的生氣,
B00514,月亮狗,
B00515,愛打岔的小雞,
B00516,爸爸失業了,
B00517,鱷魚和長頸鹿．搬過來搬過去,
B00518,世界上最長的壽司,
B00519,我會用小馬桶,
B00520,你很快就會長高,
B00521,胡森討厭上學,
B00522,帕西波的裁縫夢,
B00523,米爺爺學認字,
B00524,為愛朗讀,
B00525,農場的瘋狂事件,
B00526,爺爺奶奶的彩色回憶,
B00527,小畢的故事,
B00528,遇見春天,
B00529,怕浪費的奶奶,
B00530,叔公的理髮店,
B00531,公主四點會來,
B00532,不一樣的聖誕禮物,
B00533,抱抱,
B00534,我的朋友,
B00535,咩咩羊的聰明丸,
B00536,鱷魚怕怕牙醫怕怕,
B00537,愛取名字的老太太,
B00538,彩色點點,
B00539,小黃點,
B00540,晴天雨天幸福天,
B00541,好安靜的書,
B00542,謝謝你來當我的寶貝,
B00543,不睡覺世界冠軍,
B00544,吃掉黑暗的怪獸,
B00545,鏡子裡的小孩,
B00546,我會做任何事！,
B00547,乖乖小惡魔,
B00548,山的禮物,
B00549,不是你想要的都可以得到,
B00550,我不喜歡你這樣對我！,
B00551,第一次自己睡覺,
B00552,家有生氣小恐龍,
B00553,老虎先生,
B00554,地圖,
B00555,大嘴巴百貨公司 ,
B00556,我種了高麗菜,
B00557,神奇的毛線,
B00558,我的老師是怪獸！（不，我不是！）,
B00559,如果有一天,
B00560,我贊成！,
B00561,我是霸王龍,
B00562,消失的動物園,
B00563,我們的森林,
B00564,小卡車兜兜風,
B00565,超神奇糖果鋪,
B00566,咕嚕咕嚕蹦,
B00567,小雞逛超市,
B00568,小雞逛遊樂園,
B00569,小雞過生日,
B00570,小雞過耶誕節,
B00571,小雞去露營,
B00572,海盜船,
B00573,再一遍！,
B00574,海底100層樓的家,
B00575,地下100層樓的家,
B00576,100層樓的家,
B00577,躲好了沒？,
B00578,衣服鞋子捉迷藏,
B00579, 愛蓋章的國王,
B00580,第一條魚,
B00581,帥氣小黑來報到,
B00582,小豬別哭啦！,
B00583,超神奇牙膏,
B00584,超神奇洗髮精,
B00585,謝謝你！小幫手,
B00586,我是藝術家,
B00587,動物奧運會,
B00588,一起來騎腳踏車,
B00589,我從哪裡來,
B00590,台灣賞樹情報,
B00591,射日．奔月：中秋的故事,
B00592,一直一直往下挖,
B00593,總有一天，想回去我的故鄉,
B00594,愛哭公主,
B00595,貝蒂好想好想吃香蕉,
B00596,蔬菜是怎麼長大的呀？,
B00597,巴冷公主,
B00598,日月潭的水怪,
B00599,百步蛇娶新娘,
B00600,占卜鳥希希利,
B00601,月亮的禮物,
B00602,冬瓜女兒,
B00603,彩虹的守候,
B00604,對付大巨人,
B00605,石頭和竹子生出來的人,
B00606,來自地底的禮物,
B00607,希望快點長大,
B00608,大黑狗耕田,
B00609,我的爸爸是電車司機,
B00610,快！快！宅急便,
B00611,加油！警車,
B00612,修馬路！小心喔,
B00613,挖土機，出發！,
B00614,大家來蓋房子,
B00615,搭客運去海邊,
B00616,公車來了,
B00617,電車來了噹噹噹,
B00618,野貓軍團開火車,
B00619,你不知道你很棒嗎?,
B00620,我的爸爸是消防隊員,
B00621,我的爸爸是麵包師傅,
B00622,鳥巢之歌,
B00623,我沒有哭,
B00624,看不見的炸彈,
B00625,過過過馬路,
B00626,蘿拉找王子 ,
B00627,薩琪想要一個小寶寶,
B00628,薩琪到底有沒有小雞雞？,
B00629,不會寫字的獅子,
B00630,我選我自己,
B00631,家族相簿,
B00632,我變成一隻噴火龍了,
B00633,帕拉帕拉山的妖怪,
B00634,沒毛雞,
B00635,泥水師父,
B00636,很慢很慢的蝸牛,
B00637,那年冬天,
B00638,想念奶奶,
B00639,禮物,
B00640,熊爸爸去另一個城市工作,
B00641,媽媽，外面有陽光,
B00642,阿迪和朱莉,
B00643,早起的一天,
B00644,我家住在大海邊,
B00645,誰是膽小鬼,
B00646,我的春夏秋冬,
B00647,胖先生和高大個,
B00648,流浪狗之歌,
B00649,家族相簿,
B00650,開往遠方的列車,
B00651,天才寶寶,
B00652,點,
B00653,天空為什麼是藍色的？,
B00654,永遠愛你,
B00655,南瓜湯,
B00656,超級完美的潘百麗老師,
B00657,我的好夢床,
B00658,家,
B00659,大木棉樹—亞馬遜雨林的故事,
B00660,自然大驚奇：由遠到近‧由近到遠,
B00661,一位溫柔善良有錢的太太和她100隻狗,
B00662,世界為誰存在？,
B00663,超級悍將 :動物求生大驚奇,
B00664,藝術在哪裡？,
B00665,插畫散步－從台北到紐約,
B00666,妞妞的鹿角,
B00667,大家一起拔蘿蔔,
B00668,走，去迪化街買年貨,
B00669,奉茶,
B00670,勇士爸爸去搶孤,
B00671,萬和宮老二媽的故事,
B00672,要到哪裡去呢?,
B00673,長得很像吧!?,
B00674,拼被人送的禮,
B00675,拼被人去旅行,
B00676,漢妮卡特小姐的帽子,
B00677,紅公雞,
B00678,媽媽買綠豆,
B00679,小魚散步,
B00680,眼鏡公主,
B00681,蛀牙王子,
B00682,害羞小公主,
B00683,哈啾小王子,
B00684,劍獅出巡,
